year,level_1,level_2,level_3,value
2015,Total,Total,Ang Mo Kio,145.2
2015,Total,Total,Bedok,212.5
2015,Total,Total,Bishan,68.1
2015,Total,Total,Bukit Batok,105.2
2015,Total,Total,Bukit Merah,123
2015,Total,Total,Bukit Panjang,106.8
2015,Total,Total,Bukit Timah,52.6
2015,Total,Total,Choa Chu Kang,129.5
2015,Total,Total,Clementi,67.5
2015,Total,Total,Geylang,84.8
2015,Total,Total,Hougang,164.2
2015,Total,Total,Jurong East,64.4
2015,Total,Total,Jurong West,210.7
2015,Total,Total,Kallang,78.3
2015,Total,Total,Marine Parade,33
2015,Total,Total,Novena,34.2
2015,Total,Total,Outram,16.4
2015,Total,Total,Pasir Ris,101.7
2015,Total,Total,Punggol,77.5
2015,Total,Total,Queenstown,74.8
2015,Total,Total,Sembawang,58.2
2015,Total,Total,Sengkang,160.1
2015,Total,Total,Serangoon,98.6
2015,Total,Total,Tampines,206.2
2015,Total,Total,Tanglin,13.1
2015,Total,Total,Toa Payoh,98.3
2015,Total,Total,Woodlands,177.6
2015,Total,Total,Yishun,156.9
2015,Total,Total,Others,29
2015,No Qualification,Total,Ang Mo Kio,23.9
2015,No Qualification,Total,Bedok,26.7
2015,No Qualification,Total,Bishan,6.2
2015,No Qualification,Total,Bukit Batok,11.8
2015,No Qualification,Total,Bukit Merah,22.5
2015,No Qualification,Total,Bukit Panjang,12.3
2015,No Qualification,Total,Bukit Timah,1.8
2015,No Qualification,Total,Choa Chu Kang,12.3
2015,No Qualification,Total,Clementi,10.1
2015,No Qualification,Total,Geylang,13.7
2015,No Qualification,Total,Hougang,22.5
2015,No Qualification,Total,Jurong East,9.7
2015,No Qualification,Total,Jurong West,26.4
2015,No Qualification,Total,Kallang,13.5
2015,No Qualification,Total,Marine Parade,3.3
2015,No Qualification,Total,Novena,4.1
2015,No Qualification,Total,Outram,3.2
2015,No Qualification,Total,Pasir Ris,8
2015,No Qualification,Total,Punggol,6.9
2015,No Qualification,Total,Queenstown,11
2015,No Qualification,Total,Sembawang,5
2015,No Qualification,Total,Sengkang,17.7
2015,No Qualification,Total,Serangoon,10.6
2015,No Qualification,Total,Tampines,24.1
2015,No Qualification,Total,Tanglin,0.2
2015,No Qualification,Total,Toa Payoh,15
2015,No Qualification,Total,Woodlands,19.6
2015,No Qualification,Total,Yishun,23
2015,No Qualification,Total,Others,3
2015,Primary,Total,Ang Mo Kio,13.4
2015,Primary,Total,Bedok,15.1
2015,Primary,Total,Bishan,3.1
2015,Primary,Total,Bukit Batok,7.7
2015,Primary,Total,Bukit Merah,10.3
2015,Primary,Total,Bukit Panjang,8.2
2015,Primary,Total,Bukit Timah,1.2
2015,Primary,Total,Choa Chu Kang,9.5
2015,Primary,Total,Clementi,4.5
2015,Primary,Total,Geylang,6.5
2015,Primary,Total,Hougang,11.3
2015,Primary,Total,Jurong East,4.1
2015,Primary,Total,Jurong West,17.6
2015,Primary,Total,Kallang,5.5
2015,Primary,Total,Marine Parade,1
2015,Primary,Total,Novena,2.1
2015,Primary,Total,Outram,0.7
2015,Primary,Total,Pasir Ris,4.4
2015,Primary,Total,Punggol,3.3
2015,Primary,Total,Queenstown,5.5
2015,Primary,Total,Sembawang,3.8
2015,Primary,Total,Sengkang,9.6
2015,Primary,Total,Serangoon,5
2015,Primary,Total,Tampines,12.8
2015,Primary,Total,Tanglin,0.2
2015,Primary,Total,Toa Payoh,8.4
2015,Primary,Total,Woodlands,13.9
2015,Primary,Total,Yishun,13.4
2015,Primary,Total,Others,1.1
2015,Lower Secondary,Total,Ang Mo Kio,13.3
2015,Lower Secondary,Total,Bedok,16.3
2015,Lower Secondary,Total,Bishan,4.8
2015,Lower Secondary,Total,Bukit Batok,8.5
2015,Lower Secondary,Total,Bukit Merah,11.3
2015,Lower Secondary,Total,Bukit Panjang,8.3
2015,Lower Secondary,Total,Bukit Timah,1.2
2015,Lower Secondary,Total,Choa Chu Kang,12
2015,Lower Secondary,Total,Clementi,5.4
2015,Lower Secondary,Total,Geylang,6.1
2015,Lower Secondary,Total,Hougang,15.3
2015,Lower Secondary,Total,Jurong East,5.1
2015,Lower Secondary,Total,Jurong West,18.7
2015,Lower Secondary,Total,Kallang,6.4
2015,Lower Secondary,Total,Marine Parade,2.8
2015,Lower Secondary,Total,Novena,1.7
2015,Lower Secondary,Total,Outram,1.3
2015,Lower Secondary,Total,Pasir Ris,6.5
2015,Lower Secondary,Total,Punggol,4.8
2015,Lower Secondary,Total,Queenstown,5.8
2015,Lower Secondary,Total,Sembawang,4.5
2015,Lower Secondary,Total,Sengkang,13.9
2015,Lower Secondary,Total,Serangoon,6.3
2015,Lower Secondary,Total,Tampines,16.7
2015,Lower Secondary,Total,Tanglin,0
2015,Lower Secondary,Total,Toa Payoh,7.7
2015,Lower Secondary,Total,Woodlands,16.9
2015,Lower Secondary,Total,Yishun,13.8
2015,Lower Secondary,Total,Others,1.2
2015,Secondary,Total,Ang Mo Kio,24.6
2015,Secondary,Total,Bedok,40.8
2015,Secondary,Total,Bishan,11.8
2015,Secondary,Total,Bukit Batok,19.2
2015,Secondary,Total,Bukit Merah,22.4
2015,Secondary,Total,Bukit Panjang,18.9
2015,Secondary,Total,Bukit Timah,5.7
2015,Secondary,Total,Choa Chu Kang,24.7
2015,Secondary,Total,Clementi,11.2
2015,Secondary,Total,Geylang,15.8
2015,Secondary,Total,Hougang,32.9
2015,Secondary,Total,Jurong East,12.7
2015,Secondary,Total,Jurong West,39
2015,Secondary,Total,Kallang,12.8
2015,Secondary,Total,Marine Parade,5.6
2015,Secondary,Total,Novena,4.6
2015,Secondary,Total,Outram,2.8
2015,Secondary,Total,Pasir Ris,23.1
2015,Secondary,Total,Punggol,11.7
2015,Secondary,Total,Queenstown,12.7
2015,Secondary,Total,Sembawang,11.6
2015,Secondary,Total,Sengkang,26.9
2015,Secondary,Total,Serangoon,17.9
2015,Secondary,Total,Tampines,44.5
2015,Secondary,Total,Tanglin,1
2015,Secondary,Total,Toa Payoh,18.1
2015,Secondary,Total,Woodlands,37
2015,Secondary,Total,Yishun,30.5
2015,Secondary,Total,Others,4.6
2015,Post-Secondary (Non-Tertiary),Total,Ang Mo Kio,13.6
2015,Post-Secondary (Non-Tertiary),Total,Bedok,20.7
2015,Post-Secondary (Non-Tertiary),Total,Bishan,6.3
2015,Post-Secondary (Non-Tertiary),Total,Bukit Batok,9.9
2015,Post-Secondary (Non-Tertiary),Total,Bukit Merah,9.8
2015,Post-Secondary (Non-Tertiary),Total,Bukit Panjang,12.3
2015,Post-Secondary (Non-Tertiary),Total,Bukit Timah,4.6
2015,Post-Secondary (Non-Tertiary),Total,Choa Chu Kang,15.8
2015,Post-Secondary (Non-Tertiary),Total,Clementi,5.6
2015,Post-Secondary (Non-Tertiary),Total,Geylang,8.3
2015,Post-Secondary (Non-Tertiary),Total,Hougang,15.9
2015,Post-Secondary (Non-Tertiary),Total,Jurong East,7.9
2015,Post-Secondary (Non-Tertiary),Total,Jurong West,24.4
2015,Post-Secondary (Non-Tertiary),Total,Kallang,6.4
2015,Post-Secondary (Non-Tertiary),Total,Marine Parade,3.1
2015,Post-Secondary (Non-Tertiary),Total,Novena,2.5
2015,Post-Secondary (Non-Tertiary),Total,Outram,1.8
2015,Post-Secondary (Non-Tertiary),Total,Pasir Ris,13.2
2015,Post-Secondary (Non-Tertiary),Total,Punggol,6.5
2015,Post-Secondary (Non-Tertiary),Total,Queenstown,7.1
2015,Post-Secondary (Non-Tertiary),Total,Sembawang,6
2015,Post-Secondary (Non-Tertiary),Total,Sengkang,15.1
2015,Post-Secondary (Non-Tertiary),Total,Serangoon,10.7
2015,Post-Secondary (Non-Tertiary),Total,Tampines,21.9
2015,Post-Secondary (Non-Tertiary),Total,Tanglin,1.4
2015,Post-Secondary (Non-Tertiary),Total,Toa Payoh,9
2015,Post-Secondary (Non-Tertiary),Total,Woodlands,23.8
2015,Post-Secondary (Non-Tertiary),Total,Yishun,18.4
2015,Post-Secondary (Non-Tertiary),Total,Others,2.1
2015,Polytechnic,Total,Ang Mo Kio,11.1
2015,Polytechnic,Total,Bedok,16
2015,Polytechnic,Total,Bishan,5.5
2015,Polytechnic,Total,Bukit Batok,11.2
2015,Polytechnic,Total,Bukit Merah,7.8
2015,Polytechnic,Total,Bukit Panjang,11.7
2015,Polytechnic,Total,Bukit Timah,2.4
2015,Polytechnic,Total,Choa Chu Kang,14
2015,Polytechnic,Total,Clementi,5.4
2015,Polytechnic,Total,Geylang,7
2015,Polytechnic,Total,Hougang,15.2
2015,Polytechnic,Total,Jurong East,5.9
2015,Polytechnic,Total,Jurong West,20.6
2015,Polytechnic,Total,Kallang,5.1
2015,Polytechnic,Total,Marine Parade,1.6
2015,Polytechnic,Total,Novena,2.1
2015,Polytechnic,Total,Outram,0.8
2015,Polytechnic,Total,Pasir Ris,12.4
2015,Polytechnic,Total,Punggol,10.4
2015,Polytechnic,Total,Queenstown,4.7
2015,Polytechnic,Total,Sembawang,6.8
2015,Polytechnic,Total,Sengkang,17.2
2015,Polytechnic,Total,Serangoon,8.9
2015,Polytechnic,Total,Tampines,22
2015,Polytechnic,Total,Tanglin,0.4
2015,Polytechnic,Total,Toa Payoh,7.6
2015,Polytechnic,Total,Woodlands,18.1
2015,Polytechnic,Total,Yishun,14.6
2015,Polytechnic,Total,Others,1.7
2015,Professional Qualification and Other Diploma,Total,Ang Mo Kio,10.1
2015,Professional Qualification and Other Diploma,Total,Bedok,13.9
2015,Professional Qualification and Other Diploma,Total,Bishan,5
2015,Professional Qualification and Other Diploma,Total,Bukit Batok,7.2
2015,Professional Qualification and Other Diploma,Total,Bukit Merah,7.8
2015,Professional Qualification and Other Diploma,Total,Bukit Panjang,8.4
2015,Professional Qualification and Other Diploma,Total,Bukit Timah,3.6
2015,Professional Qualification and Other Diploma,Total,Choa Chu Kang,9.9
2015,Professional Qualification and Other Diploma,Total,Clementi,4.7
2015,Professional Qualification and Other Diploma,Total,Geylang,6.1
2015,Professional Qualification and Other Diploma,Total,Hougang,10.9
2015,Professional Qualification and Other Diploma,Total,Jurong East,3.6
2015,Professional Qualification and Other Diploma,Total,Jurong West,16.5
2015,Professional Qualification and Other Diploma,Total,Kallang,6.2
2015,Professional Qualification and Other Diploma,Total,Marine Parade,2.1
2015,Professional Qualification and Other Diploma,Total,Novena,2.2
2015,Professional Qualification and Other Diploma,Total,Outram,1.5
2015,Professional Qualification and Other Diploma,Total,Pasir Ris,10
2015,Professional Qualification and Other Diploma,Total,Punggol,7.2
2015,Professional Qualification and Other Diploma,Total,Queenstown,5.7
2015,Professional Qualification and Other Diploma,Total,Sembawang,4.7
2015,Professional Qualification and Other Diploma,Total,Sengkang,12.8
2015,Professional Qualification and Other Diploma,Total,Serangoon,6.5
2015,Professional Qualification and Other Diploma,Total,Tampines,13.9
2015,Professional Qualification and Other Diploma,Total,Tanglin,0.5
2015,Professional Qualification and Other Diploma,Total,Toa Payoh,6.9
2015,Professional Qualification and Other Diploma,Total,Woodlands,14
2015,Professional Qualification and Other Diploma,Total,Yishun,12.2
2015,Professional Qualification and Other Diploma,Total,Others,1.7
2015,University,Total,Ang Mo Kio,35.4
2015,University,Total,Bedok,62.9
2015,University,Total,Bishan,25.4
2015,University,Total,Bukit Batok,29.7
2015,University,Total,Bukit Merah,31.1
2015,University,Total,Bukit Panjang,26.5
2015,University,Total,Bukit Timah,32.1
2015,University,Total,Choa Chu Kang,31.5
2015,University,Total,Clementi,20.7
2015,University,Total,Geylang,21.3
2015,University,Total,Hougang,40
2015,University,Total,Jurong East,15.6
2015,University,Total,Jurong West,47.6
2015,University,Total,Kallang,22.3
2015,University,Total,Marine Parade,13.4
2015,University,Total,Novena,14.9
2015,University,Total,Outram,4.4
2015,University,Total,Pasir Ris,24.2
2015,University,Total,Punggol,26.7
2015,University,Total,Queenstown,22.3
2015,University,Total,Sembawang,15.7
2015,University,Total,Sengkang,46.9
2015,University,Total,Serangoon,32.8
2015,University,Total,Tampines,50.2
2015,University,Total,Tanglin,9.5
2015,University,Total,Toa Payoh,25.6
2015,University,Total,Woodlands,34.4
2015,University,Total,Yishun,31
2015,University,Total,Others,13.7
